Title,Subtitle,Price,Offer,Shipping,Country,Sold
"Dell 15"" Laptop Computer i5-1135G7, up to 40GB RAM, 2TB SSD, Windows 11 Pro",No subtitle,$249.00 to $579.00,No best offer,+$84.47 shipping,from United States,No sold information
New Samsung Galaxy Book Go 5G 14” 128GB 8GB RAM Wifi + Cellular Unlocked Laptop,Open Box,$232.95,No best offer,+$144.15 shipping,from United States,350 sold
"~OVERSTOCK~ 13.3"" Dell Latitude Laptop: Intel i5! 16GB RAM! 1TB SSD! Windows 11!",No subtitle,$287.95,or Best Offer,+$85.62 shipping,from United States,No sold information
"Dell Latitude E7450 14"" Laptop PC Computer Core i7 16GB RAM 256GB SSD Windows 10",Very Good - Refurbished,$189.99,No best offer,+$82.73 shipping,from United States,85 sold
"Dell XPS 13 13.4 4K (Intel Core i7-,  16GB RAM 1TB SSD) Laptop",No subtitle,$795.00,No best offer,+$100.58 shipping,from United States,No sold information
Dell Touchscreen 2-in-1 Laptop Computer Quad-Core i7 16GB RAM 250GB SSD Windows,Very Good - Refurbished,$258.99,or Best Offer,+$104.96 shipping,from United States,No sold information
17.3 Inch Touch Display Laptop Intel N5095 8GB 16GB RAM 256GB 512GB SSD Notebook,Brand New,$258.35 to $277.54,No best offer,Free International Shipping,from China,No sold information
"HP 14-fq1003cl 14"" HD Touch AMD Ryzen 3 5300U 2.60GHz 8GB DDR4 RAM 256 SSD W11H",Very Good - Refurbished,$179.99,No best offer,+$82.43 shipping,from United States,26 sold
2022 Dell Latitude 7420 Laptop Intel i5-1145G7 4.4GHz 8GB RAM 256GB SSD X79HW,No subtitle,$364.99,No best offer,+$81.14 shipping,from United States,No sold information
"15.6"" HP ProBook Laptop PC: Intel i7! 16GB RAM! 256GB SSD! Webcam! Windows 10!",No subtitle,$209.95,or Best Offer,+$103.52 shipping,from United States,No sold information
"Dell 5190 Chromebook Touchscreen Laptop 11.6"" Celeron 4GB Ram 32GB SSD Chrome OS",Good - Refurbished,$59.99,No best offer,+$72.14 shipping,from United States,39 sold
